1	2	101	102	200	500	200
2	3	102	103	300	400	300
3	4	103	104	1000	600	500
4	5	104	105	500	200	340
5	6	105	106	150	600	450
6	7	106	107	320	200	120
7	8	107	108	400	700	650
8	9	108	109	800	350	200
9	10	109	110	900	250	430
10	11	110	111	500	650	120
11	12	111	112	1000	400	890
12	13	112	113	2000	500	800
13	14	113	114	500	500	700
14	15	114	115	220	400	540
15	16	115	116	230	600	330
16	17	116	117	300	200	280
17	18	117	118	500	600	800
18	19	118	119	480	200	1000
19	20	119	120	500	700	2000
20	21	120	121	400	350	700
21	22	121	122	900	250	650
22	23	122	123	300	650	440
23	1	123	101	480	400	200
24	25	101	201	1000	500	300
25	26	201	202	250	500	500
26	27	202	203	480	400	340
27	28	203	204	400	600	450
28	29	204	205	250	200	120
29	30	205	206	500	600	650
30	31	206	207	320	200	200
31	32	207	208	250	700	430
32	33	208	209	300	350	120
33	34	209	210	150	250	890
34	35	210	211	900	650	800
35	36	211	212	320	400	700
36	37	212	213	150	500	540
37	38	213	214	500	500	330
38	39	214	215	210	400	280
39	40	215	216	150	600	800
40	41	216	217	500	200	1000
42	43	207	301	300	600	2000
43	44	301	302	300	200	700
44	45	302	303	480	700	650
45	46	303	304	400	350	440
46	47	304	123	250	250	200
47	48	123	305	300	650	300
48	49	305	306	250	400	500
49	50	306	307	900	500	340
50	51	307	308	480	500	450
51	52	308	107	400	400	120
53	54	104	401	1000	600	650
54	55	401	307	150	200	200
55	56	307	402	300	600	430
56	57	402	403	210	200	120
57	58	403	404	320	700	890
58	59	404	405	210	350	800
59	60	405	406	500	250	700
60	61	406	407	300	650	540
61	62	407	115	320	400	330
62	63	115	408	480	500	280
63	64	408	409	300	340	800
64	65	409	410	480	500	1000
65	66	410	411	300	400	2000
66	67	411	412	900	600	700
67	68	412	413	400	200	650
68	69	413	414	430	600	440
69	70	414	415	150	200	200
70	71	415	416	1000	700	300
71	72	416	417	500	350	500
72	73	417	216	900	250	340
84	83	209	501	320	650	450
83	82	501	502	320	400	120
82	81	502	503	430	500	650
81	80	503	504	210	500	200
80	79	504	122	320	400	430
79	78	122	505	480	600	120
78	77	505	506	300	200	890
77	76	506	403	320	600	800
76	75	403	507	300	200	700
75	74	507	109	1000	700	540
85	86	601	602	150	350	330
86	87	602	121	700	250	280
87	88	121	603	500	650	800
88	89	603	604	300	400	1000
89	90	604	605	430	200	2000
90	91	605	606	480	300	700
91	92	606	116	320	400	650
92	93	116	607	250	200	440
93	94	607	608	500	600	200
94	95	608	609	700	200	300
95	96	609	412	320	700	500
96	97	412	610	1000	350	340
97	98	610	611	700	250	450
98	99	611	612	700	650	120
99	100	612	613	150	400	650
100	101	613	614	430	200	200
101	102	614	615	500	300	430
102	103	615	616	700	400	120
103	104	616	417	480	200	890
104	105	417	617	320	600	800
105	106	617	618	300	200	700
106	107	618	619	250	700	540
107	108	619	620	700	350	330
108	109	620	621	320	250	280
109	110	621	622	480	650	800
110	85	622	601	150	400	1000
111	112	202	303	1000	200	2000
112	113	303	503	700	300	700
113	114	503	601	500	400	650
114	115	601	701	430	200	440
115	116	701	702	150	600	200
116	117	702	703	600	200	300
117	118	703	704	700	700	500
118	119	704	705	250	350	340
119	120	705	706	600	250	450
120	121	706	416	300	650	120
121	122	416	707	430	400	650
122	123	707	614	480	200	200
124	125	113	801	600	300	430
125	126	801	802	1000	400	120
126	127	802	803	700	200	890
127	128	803	409	600	600	800
128	129	409	608	500	200	700
129	130	608	804	700	700	540
130	131	804	805	150	350	330
131	132	805	806	210	250	280
132	133	806	705	600	650	800
133	134	705	618	250	400	1000
134	135	618	214	700	200	2000
136	137	112	901	600	300	700
137	138	901	406	300	400	650
138	139	406	605	210	200	440
139	140	605	902	480	600	280
140	141	902	119	430	200	800
141	142	119	903	1000	700	1000
142	143	903	702	150	350	2000
143	144	702	904	500	250	700
144	145	904	621	250	650	650
145	146	621	211	300	400	440					
1	24	101	101	0	0	0
4	53	104	104	0	0	0
7	52	107	107	0	0	0
9	74	109	109	0	0	0
12	136	112	112	0	0	0
13	124	113	113	0	0	0
15	62	115	115	0	0	0
16	92	116	116	0	0	0
19	141	119	119	0	0	0
21	87	121	121	0	0	0
22	79	122	122	0	0	0
23	47	123	123	0	0	0
26	111	202	202	0	0	0
31	42	207	207	0	0	0
33	84	209	209	0	0	0
35	146	211	211	0	0	0
38	135	214	214	0	0	0
40	73	216	216	0	0	0
45	112	303	303	0	0	0
50	55	307	307	0	0	0
57	76	403	403	0	0	0
60	138	406	406	0	0	0
64	128	409	409	0	0	0
67	96	412	412	0	0	0
71	121	416	416	0	0	0
72	104	417	417	0	0	0
81	113	503	503	0	0	0
85	114	601	601	0	0	0
90	139	605	605	0	0	0
94	129	608	608	0	0	0
101	123	614	614	0	0	0
106	134	618	618	0	0	0
109	145	621	621	0	0	0
116	143	702	702	0	0	0
119	133	705	705	0	0	0
